3.8234 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
69.3998 	EXP 	fixation: autoDraw = False
69.3998 	EXP 	grating: autoDraw = False
69.3998 	EXP 	grating: ori = 0.0
69.3998 	EXP 	fixation: autoDraw = True
70.4001 	EXP 	fixation: autoDraw = False
70.4001 	EXP 	grating: autoDraw = True
70.7000 	EXP 	grating: autoDraw = False
70.7080 	EXP 	New trial (rep=26, index=0): None
70.7118 	DATA 	Keypress: up
70.7164 	EXP 	fixation: autoDraw = False
70.7164 	EXP 	grating: autoDraw = False
70.7164 	EXP 	grating: ori = 1.0
70.7164 	EXP 	fixation: autoDraw = True
71.7168 	EXP 	fixation: autoDraw = False
71.7168 	EXP 	grating: autoDraw = True
72.0165 	EXP 	grating: autoDraw = False
72.0563 	EXP 	New trial (rep=27, index=0): None
72.0601 	DATA 	Keypress: up
72.0666 	EXP 	fixation: autoDraw = False
72.0666 	EXP 	grating: autoDraw = False
72.0666 	EXP 	grating: ori = 0.0
72.0666 	EXP 	fixation: autoDraw = True
73.0670 	EXP 	fixation: autoDraw = False
73.0670 	EXP 	grating: autoDraw = True
73.3667 	EXP 	grating: autoDraw = False
73.3738 	EXP 	New trial (rep=28, index=0): None
73.3775 	DATA 	Keypress: down
73.3832 	EXP 	fixation: autoDraw = False
73.3832 	EXP 	grating: autoDraw = False
73.3832 	EXP 	grating: ori = 2.0
73.3832 	EXP 	fixation: autoDraw = True
74.3834 	EXP 	fixation: autoDraw = False
74.3834 	EXP 	grating: autoDraw = True
74.6579 	EXP 	New trial (rep=29, index=0): None
74.6616 	DATA 	Keypress: up
74.6668 	EXP 	fixation: autoDraw = False
74.6668 	EXP 	grating: autoDraw = False
74.6668 	EXP 	grating: ori = -2.0
74.6668 	EXP 	fixation: autoDraw = True
75.6668 	EXP 	fixation: autoDraw = False
75.6668 	EXP 	grating: autoDraw = True
75.9562 	EXP 	New trial (rep=30, index=0): None
75.9602 	DATA 	Keypress: down
75.9665 	EXP 	grating: autoDraw = False
75.9665 	EXP 	fixation: autoDraw = False
75.9665 	EXP 	grating: autoDraw = False
75.9665 	EXP 	grating: ori = 0.0
75.9665 	EXP 	fixation: autoDraw = True
76.9670 	EXP 	fixation: autoDraw = False
76.9670 	EXP 	grating: autoDraw = True
77.2671 	EXP 	grating: autoDraw = False
77.3393 	EXP 	New trial (rep=31, index=0): None
77.3426 	DATA 	Keypress: down
77.3502 	EXP 	fixation: autoDraw = False
77.3502 	EXP 	grating: autoDraw = False
77.3502 	EXP 	grating: ori = 0.0
77.3502 	EXP 	fixation: autoDraw = True
78.3504 	EXP 	fixation: autoDraw = False
78.3504 	EXP 	grating: autoDraw = True
78.6502 	EXP 	grating: autoDraw = False
78.6746 	EXP 	New trial (rep=32, index=0): None
78.6784 	DATA 	Keypress: up
78.6835 	EXP 	fixation: autoDraw = False
78.6835 	EXP 	grating: autoDraw = False
78.6835 	EXP 	grating: ori = 0.0
78.6835 	EXP 	fixation: autoDraw = True
79.6837 	EXP 	fixation: autoDraw = False
79.6837 	EXP 	grating: autoDraw = True
79.9838 	EXP 	grating: autoDraw = False
80.0566 	EXP 	New trial (rep=33, index=0): None
80.0599 	DATA 	Keypress: up
